iter	Accuracy	Logloss
475	0.6960932339	0.5791239105
476	0.6959988676	0.5790425157
477	0.6961876003	0.5789729356
478	0.6962347834	0.5788989423
479	0.6962347834	0.5787676112
480	0.6965650656	0.578597128
481	0.6965650656	0.5785121431
482	0.6964706993	0.5783921236
483	0.6966594319	0.5782487364
484	0.6968953477	0.5780708564
485	0.6969897141	0.5780331692
486	0.6970368972	0.5779715514
487	0.6970840804	0.5779241151
488	0.6969897141	0.577861937
489	0.6968953477	0.577812905
490	0.6969897141	0.5777017833
491	0.6968009814	0.5776268398
492	0.6968953477	0.5775117213
493	0.6972256299	0.5774113234
494	0.6973671794	0.5772947827
495	0.6973199962	0.5772238552
496	0.6972728131	0.5771551056
497	0.6971784467	0.57701227
498	0.6974143626	0.5768875133
499	0.6976974615	0.5767503408
500	0.6977918279	0.5766458521
501	0.6979333774	0.5765634694
502	0.6981692932	0.5764625401
503	0.6979805605	0.5763298749
504	0.69812211	0.5762331742
505	0.69812211	0.5761207356
506	0.6984995754	0.5760458223
507	0.6984995754	0.5759974649
508	0.6985939417	0.5759044284
509	0.6986411248	0.5758030064
510	0.6991601397	0.5756669676
511	0.699537605	0.5755628975
512	0.6993960555	0.5754466775
513	0.6993960555	0.5753729045
514	0.6994904218	0.5752891262
515	0.6993960555	0.5751578443
516	0.699537605	0.5750798887
517	0.6996791545	0.5750369279
518	0.6997263376	0.5749156301
519	0.7000566198	0.574872504
520	0.7001509861	0.5748415182
521	0.7004340851	0.574717962
522	0.700386902	0.5746603902
523	0.7003397188	0.5746046344
524	0.7004340851	0.5745183698
525	0.7005284514	0.5744031758
526	0.7007171841	0.5743613939
527	0.7009530999	0.5741995509
528	0.7010474663	0.5740903377
529	0.7009530999	0.5739817647
530	0.7011890158	0.5739522532
531	0.7014249316	0.5738647486
532	0.7013305653	0.5737811319
533	0.7014721147	0.5737190657
534	0.7018495801	0.5736070807
535	0.7018023969	0.5735091852
536	0.7019911296	0.5733989295
537	0.7021798622	0.5733452484
538	0.7020383127	0.5731957187
539	0.7021798622	0.57309501
540	0.7022270454	0.5730248939
541	0.7024157781	0.5729077519
542	0.7024157781	0.5728836307
543	0.7026045107	0.5727532439
544	0.7027932434	0.5726546279
545	0.7027460602	0.5725012781
546	0.7030291592	0.5724100502
547	0.7029347929	0.5723727462
548	0.7029347929	0.5723126704
549	0.7031707087	0.572211904
550	0.7033594414	0.5720991341
551	0.7034538077	0.5720127362
552	0.7035009908	0.5719220949
553	0.7036425403	0.5717941838
554	0.7033594414	0.5716792785
555	0.7036897235	0.5715942812
556	0.7036425403	0.5714441563
557	0.7038784562	0.571346645
558	0.7040671888	0.571274395
559	0.7042559215	0.5711895898
560	0.7042559215	0.5710843693
561	0.7043031047	0.5709800143
562	0.7042087383	0.5709082401
563	0.7042559215	0.570802492
564	0.7042559215	0.5707510372
565	0.7041615552	0.5707418617
566	0.704397471	0.5706279503
567	0.7044446541	0.5705563973
568	0.704397471	0.5704486653
569	0.7047749363	0.5703069142
570	0.7049164858	0.5702448907
571	0.7048221195	0.5701492408
572	0.70468057	0.5700147296
573	0.7047749363	0.5699084822
574	0.7045862036	0.5697787165
575	0.7045862036	0.5696235559
576	0.7046333868	0.5695715168
577	0.7047277531	0.5694470652
578	0.7048693026	0.5693847358
579	0.7050108521	0.5693438214
580	0.7050580353	0.5692836076
581	0.704963669	0.5691481038
582	0.7050580353	0.5690347152
583	0.7051995848	0.5689793598
584	0.7051995848	0.5688619613
585	0.7051524016	0.5687330223
586	0.7053883174	0.5686139406
587	0.7057185996	0.5684601385
588	0.7057185996	0.5683997517
589	0.7060488818	0.5683423042
590	0.7058601491	0.5682088595
591	0.7058601491	0.5681405554
592	0.7060960649	0.5679903524
593	0.7066150797	0.5678788164
594	0.7068509956	0.5678173563
595	0.7069925451	0.5676896171
596	0.7070397282	0.5676293507
597	0.7069925451	0.5675742416
598	0.7068038124	0.5674574378
599	0.7068981787	0.5673793911
600	0.7069453619	0.5673517227
601	0.7067094461	0.5672450586
602	0.7068509956	0.5672100483
603	0.7070869114	0.5670667127
604	0.7070869114	0.5670369306
605	0.7075115599	0.5669226616
606	0.7075115599	0.5669200859
607	0.7073228272	0.566783321
608	0.7074171935	0.5667259929
609	0.7074643767	0.5666629334
610	0.7075115599	0.5665211799
611	0.7077946589	0.5664368356
612	0.7082664905	0.5663020157
613	0.7082193074	0.5661770461
614	0.7081721242	0.5661418203
615	0.7082664905	0.5660700781
616	0.70840804	0.565998639
617	0.7085024063	0.5658402336
618	0.7085024063	0.5657197542
619	0.7085967727	0.565679144
620	0.7085495895	0.565664905
621	0.7085967727	0.5655574447
622	0.7086439558	0.5655090591
623	0.7084552232	0.5654561641
624	0.7085495895	0.5653453854
625	0.7083608568	0.5652900772
626	0.7084552232	0.5652224979
627	0.7085495895	0.5651155029
628	0.7086439558	0.5650325976
629	0.7089270548	0.5649599468
630	0.7093988865	0.5647515118
631	0.7094460696	0.5646016516
632	0.7095876191	0.5645012381
633	0.709540436	0.564429317
634	0.7095876191	0.5643375064
635	0.7097763518	0.5642395552
636	0.7099179013	0.5642187334
637	0.7098707181	0.5641568091
638	0.7098707181	0.5640564103
639	0.7095876191	0.563954395
640	0.7097291686	0.563899822
641	0.7097763518	0.5637969416
642	0.7101538171	0.5636576631
643	0.7102481834	0.5635841171
644	0.710106634	0.5634546438
645	0.7102481834	0.563345594
646	0.7102953666	0.5632229781
647	0.7103425498	0.5631402049
648	0.7106728319	0.5630647416
649	0.7109559309	0.562945567
650	0.7111918467	0.5628103133
651	0.7110974804	0.5627635856
652	0.7111446636	0.5626270701
653	0.7110031141	0.5625487578
654	0.7111446636	0.5624762756
655	0.7113805794	0.5623600149
656	0.7113805794	0.5623277433
657	0.7115693121	0.5622251474
658	0.7117108616	0.5621144969
659	0.7118052279	0.5620129816
660	0.7118524111	0.5619138025
661	0.7118995942	0.5618534817
662	0.7120883269	0.5617837332
663	0.7118524111	0.5616745761
664	0.7119939606	0.5616150684
665	0.7121355101	0.5614790307
666	0.7125601585	0.5614169689
667	0.712701708	0.5613533234
668	0.7127960744	0.5612573085
669	0.7127488912	0.5611967553
670	0.7127960744	0.5611564772
671	0.7129376239	0.5610845237
672	0.7128432575	0.5609638462
673	0.7131263565	0.560851349
674	0.7131263565	0.5607520145
675	0.7131735397	0.5606781208
676	0.7134094555	0.5605899217
677	0.7134094555	0.5604155865
678	0.7133150892	0.5603112889
679	0.7134094555	0.5601918079
680	0.7136925545	0.5601138641
681	0.7136453713	0.5599852005
682	0.7144946683	0.5598798169
683	0.7145418515	0.5598119868
684	0.7145418515	0.559804308
685	0.7144474851	0.5597269738
686	0.714400302	0.5596876655
687	0.714400302	0.559569545
688	0.7144474851	0.5595670398
689	0.7145890346	0.5594890353
690	0.7148249505	0.5593548362
691	0.7150136831	0.5592673779
692	0.7149665	0.55915197
693	0.7151080494	0.5590882862
694	0.7153911484	0.5589715078
695	0.7157214306	0.5588780273
696	0.7159573464	0.5587273376
697	0.7160988959	0.5586845387
698	0.7161932622	0.5586347692
699	0.7160045296	0.5585935241
700	0.7162876286	0.5584688087
701	0.7161932622	0.5583610458
702	0.7162404454	0.5583586795
703	0.7160988959	0.5583051661
704	0.7162404454	0.5582005928
705	0.7164291781	0.5580731678
706	0.7166179107	0.5579473656
707	0.7166179107	0.5578175044
708	0.7166650939	0.5577833312
709	0.7170897424	0.5576296311
710	0.7169010097	0.557432586
711	0.716995376	0.5573441854
712	0.7171369255	0.5573241584
